Número,Título
1,TRAGEDIAS COMPLETAS
2,WERTHER
22,GRANDES ESPERANZAS
27,NUESTRA SEÑORA DE PARIS
33,ANDROMACA / FEDRA
35,ENSAYOS I
44,MADAME BOVARY
47,ANA KARENINA
54,CUENTOS
60,ENEIDA
62,ODISEA
63,ENSAYOS II
66,LOS HERMANOS KARAMAZOV
72,ENSAYOS III
74,LAS AVISPAS / LA PAZ / LAS
77,FAUSTO - Christopher Marlowe
78,TRÓPICO DE CÁNCER
80,EL DIABLO EN EL CUERPO
81,ORGULLO Y PREJUICIO
83,CUENTOS DE CANTERBURY
86,EL BELLO VERANO
100,DIVINA COMEDIA
101,ILÍADA
105,LA MODIFICACIÓN
110,MIENTRAS AGONIZO
113,LAS UVAS DE LA IRA
115,LOS VIAJES DE GULLIVER
119,CUMBRES BORRASCOSAS
121,CANCIONERO I
122,CANCIONERO II
124,EL PROCESO
129,RENÉ. ATALA
133,LOS NIÑOS TERRIBLES
149,LAS FLORES DEL MAL
150,DECAMERÓN
164,EL DOCTOR ZHIVAGO
172,ALICIA EN EL PAÍS DE LAS MARAVILLAS / A TRAVÉS DEL ESPEJO
181,EL CUADRO DE DORIAN GRAY
187,DUBLINESES
195,DRÁCULA
210,CANTAR DE LOS NIBELUNGOS
216,LA CARTUJA DE PARMA
218,LA REINA MARGOT
219,EL EXTRAÑO CASO DEL DR.JEKYLL Y MR.HYDE
221,OBRAS COMPLETAS
228,METAMORFOSIS
230,FRANKENSTEIN O EL MODERNO PROMETEO
231,CRIMEN Y CASTIGO
239,JANE EYRE
243,CANCIONES Y SONETOS
244,POESÍAS COMPLETAS
253,CARTAS PERSAS
261,PENSAMIENTOS
262,EL CASTILLO
268,LAS ELÍPTICAS / SOBRE LA CORONA
272,GARGANTÚA
277,VIDAS PARALELAS
284,TRES CUENTOS
298,ROBINSON CRUSOE
323,MEDITACIONES
325,DISCURSOS CONTRA MARCO ANTONIO O FILÍPICAS
327,HISTORIA DE DOS CIUDADES
338,COMPENDIO DE TÉCNICA MILITAR
342,LA ISLA DEL TESORO
344,MEMORIAS DEL SUBSUELO
352,PANTAGRUEL
365,JONATHAN WILD
375,WALDEN
376,LA MADRE
380,EL CORAZÓN DE LAS TINIEBLAS
386,LA SUERTE DE BARRY LYNDON
391,MEMORIAS DE UN CAZADOR
392,CUENTOS
394,SÁTIRAS
400,LIBRO DE LAS MARAVILLAS DEL MUNDO
409,DON JUAN TOMO I
410,DON JUAN TOMO II
427,DIARIO DE VIAJE A ITALIA
430,MIDDLEMARCH
442,PETER PAN
469,IVANHOE
471,CATILINARIAS
485,EL ASADOR DE LA REINA PIE DE OCA
492,NORTE Y SUR
494,LA CULPA DEL ABATE MOURET
499,CUENTOS ROMANOS
506,LOS NOVIOS
508,SOBRE LA LECTURA
516,FÁBULAS
532,LA GUERRA DE LAS GALIAS
546,CARTAS A LUCILIO
549,BELLEZA NEGRA
556,UN ASUNTO TENEBROSO
563,ADAM BEDE
566,EL GRAN GATSBY
574,QUINIENTOS EPIGRAMAS GRIEGOS
583,HISTORIA AUGUSTA
586,DUBLINESES
